Stock Trans Date,Stock Qty Sales All
23/06/2016,1
24/06/2016,3
27/06/2016,0
28/06/2016,2
29/06/2016,0
29/06/2016,3
30/06/2016,3
02/07/2016,1
04/07/2016,4
05/07/2016,9
06/07/2016,2
07/07/2016,3
11/07/2016,8
12/07/2016,0
12/07/2016,4
13/07/2016,4
14/07/2016,5
15/07/2016,1
19/07/2016,1
20/07/2016,5
21/07/2016,3
22/07/2016,3
25/07/2016,3
26/07/2016,3
27/07/2016,2
29/07/2016,1
04/08/2016,5
05/08/2016,1
09/08/2016,2
11/08/2016,0
11/08/2016,1
15/08/2016,1
19/08/2016,0
20/08/2016,1
23/08/2016,1
31/08/2016,3
10/09/2016,1
21/09/2016,0
21/09/2016,2
22/09/2016,2
26/09/2016,1
27/09/2016,2
29/09/2016,1
04/10/2016,1
07/10/2016,1
12/10/2016,1
07/11/2016,1
08/11/2016,1
14/11/2016,1
18/11/2016,3
21/11/2016,2
22/11/2016,3
23/11/2016,1
25/11/2016,2
26/11/2016,1
28/11/2016,3
29/11/2016,6
30/11/2016,1
01/12/2016,2
02/12/2016,3
05/12/2016,4
06/12/2016,4
07/12/2016,6
08/12/2016,2
12/12/2016,7
13/12/2016,2
15/12/2016,1
16/12/2016,1
19/12/2016,1
20/12/2016,1
03/01/2017,1
09/01/2017,1
16/01/2017,1
17/01/2017,1
25/01/2017,1
27/01/2017,1
31/01/2017,1
02/02/2017,1
07/02/2017,2
06/03/2017,1
07/03/2017,1
08/03/2017,1
10/03/2017,1
15/03/2017,1
16/03/2017,2
20/03/2017,1
21/03/2017,1
22/03/2017,1
28/03/2017,1
29/03/2017,7
30/03/2017,1
04/04/2017,4
05/04/2017,2
06/04/2017,1
07/04/2017,4
10/04/2017,6
11/04/2017,1
12/04/2017,2
13/04/2017,2
15/04/2017,1
18/04/2017,2
19/04/2017,3
21/04/2017,1
24/04/2017,2
25/04/2017,1
01/05/2017,5
04/05/2017,2
05/05/2017,1
08/05/2017,3
09/05/2017,2
11/05/2017,2
15/05/2017,3
16/05/2017,3
18/05/2017,1
19/05/2017,1
23/05/2017,4
24/05/2017,8
25/05/2017,1
26/05/2017,5
30/05/2017,3
31/05/2017,13
01/06/2017,1
02/06/2017,4
05/06/2017,9
06/06/2017,1
07/06/2017,2
08/06/2017,2
09/06/2017,1
12/06/2017,3
14/06/2017,2
15/06/2017,5
19/06/2017,5
20/06/2017,4
21/06/2017,4
22/06/2017,2
23/06/2017,2
27/06/2017,4
29/06/2017,1
30/06/2017,1
04/07/2017,5
05/07/2017,2
07/07/2017,2
12/07/2017,7
13/07/2017,1
14/07/2017,4
17/07/2017,4
19/07/2017,1
21/07/2017,2
24/07/2017,5
25/07/2017,2
26/07/2017,1
27/07/2017,1
31/07/2017,3
01/08/2017,2
02/08/2017,1
04/08/2017,1
08/08/2017,2
11/08/2017,2
15/08/2017,3
24/08/2017,2
30/08/2017,1
